Theta_deg,Theta_rad,Gamma_mean,Gamma_std
284.0,4.956735075663896,0.9662092777777775,0.056123238255255496
285.0,4.974188368183839,0.9655318888888887,0.056473453928853355
286.0,4.991641660703783,0.9648120000000006,0.05686175138389991
287.0,5.009094953223726,0.9640644999999997,0.05727807069488092
288.0,5.026548245743669,0.9633074444444446,0.05771167318010208
289.0,5.044001538263612,0.9625609444444441,0.05814907706057693
290.0,5.061454830783556,0.9618516666666661,0.05857746135104641
291.0,5.078908123303499,0.9612015555555556,0.05898111753229187
292.0,5.096361415823442,0.960639111111111,0.05934956743536918
293.0,5.113814708343385,0.9601912777777772,0.059668904371731515
294.0,5.1312680008633285,0.9598838333333336,0.059930534188202704
295.0,5.1487212933832724,0.9597407222222221,0.06012672644812193
296.0,5.1661745859032155,0.9597858888888894,0.060251560604858916
297.0,5.183627878423159,0.960037611111111,0.060304190893280464
298.0,5.201081170943102,0.9605120555555563,0.060284365797971036
